competencia,TPInscricao,NRCNPJCEI,razaosocial,estado,nomunicipio
201903,1,11994004000159,SWEEP SERVICOS E CONSTRUCOES LTDA,DF,Brasília
201903,1,29060647000190,ORMEC ENGENHARIA LTDA,RJ,Volta Redonda
201903,1,3984242000155,ORGANIZACAO MORENA DE PARCERIA E SERVICOS H LTDA,MS,Campo Grande
201903,1,95805941000109,GIASSI INDUSTRIA E COMERCIO DE CONFECCOES LTDA,SC,Içara
201903,1,23798766000169,PRO ACTION COMERCIO DE ALIMENTOS LTDA,SP,Campinas
201903,1,88028873000153,PAREXGROUP INDUSTRIA E COMERCIO DE ARGAMASSAS LTDA,SP,Jundiaí
201903,1,24598759000186,TP TAIPASTUR LOGISTICA LTDA,SP,Jundiaí
201903,1,4376684000181,CENTERPLAST EMBALAGENS PLASTICAS LTDA,SC,Pomerode
201903,1,4216204000115,JSB DISTRIBUIDORA LTDA,PI,Teresina
201903,1,13985869000184,CONSÓRCIO INTERMUNICIPAL DE SAÚDE DA MACRO REGIÃO DO SUL DE MINAS,MG,Varginha
201903,1,27162568000165,PEDRO LUIZ BEKMESSIAN VIEIRA ENGENHARIA EIRELI,SP,Caçapava
201903,1,18279158000108,RIMA INDUSTRIAL S/A,MG,Bocaiúva
201903,1,77892289000125,NEKI CONFECCOES LTDA,SC,Schroeder
201903,1,53408654000115,INDUSTRIAL E COMERCIAL MARVI LTDA,SP,Ourinhos
201903,1,7608927000158,GE POWER CONVERSION BRASIL LTDA.,MG,Betim
201903,1,14702257000108,INSTITUTO SAUDE E CIDADANIA - ISAC,DF,Brasília
201903,1,1464420000191,TRANSURB S/A,RJ,Rio de Janeiro
201903,1,9521059000108,SEADRILL SERVICOS DE PETROLEO LTDA,RJ,Rio de Janeiro
201903,1,26068130000150,SUPER VAREJAO CARACA LTDA,MG,Belo Horizonte
201903,1,7094346000145,G4F SOLUCOES CORPORATIVAS LTDA,DF,Brasília
201903,1,4143008000168,SERILON BRASIL LTDA,PR,Curitiba
201903,1,5074363000195,INSTITUTUM PAX ET VITAE,DF,Brasília
201903,1,3592110000188,HOSPITAL UROLOGICO DE BRASILIA LTDA,DF,Brasília
201903,1,11162311000173,RICARDO DE SOUZA LIMA CAIAFA MANUTENCOES E SERVICOS,DF,Brasília
201903,1,26752983000106,TEK CONSTRUTORA EIRELI,DF,Brasília
201903,1,30741805000157,VIACAO SAO JOSE LTDA,RJ,Nova Iguaçu
201903,1,19350180000160,EXPRESSO UNIAO LTDA,RJ,Rio de Janeiro
201903,1,31462982000167,LC PRESTADORA DE SERVICOS EM VIDROS LTDA,PR,Araucária
201903,1,1066493000125,SOBERANA SEGURANCA E VIGILANCIA LTDA,DF,Brasília
201903,1,0336701000104,TELECOMUNICACOES BRASILEIRAS SA TELEBRAS,DF,Brasília
201903,1,9267406000100,VISAN SEGURANCA PRIVADA EIRELI,DF,Brasília
201903,1,18011878000198,CONSORCIO HP - ITA,DF,Brasília
201903,1,26444950000107,EDEN INSTITUTO DE APOIO AO DESENVOLVIMENTO HUMANO,DF,Brasília
201903,1,36769602000155,GTO COMERCIO ATACADISTA DE CONFECCOES E CALCADOS LTDA,DF,Brasília
201903,1,33379371000185,AMPARO FEMIMINO DE 1912,RJ,Rio de Janeiro
201903,1,4803904000106,CENTRO DE ENSINO SUPERIOR NILTON LINS,AM,Manaus
201903,1,22790985000139,CARMO ALIMENTOS S/A,DF,Brasília
201903,1,2034846000178,CONELESTE SERVICOS - EIRELI,SP,São José dos Campos
201903,1,12130013000164,GLOBALWEB OUTSOURCING DO BRASIL LTDA,SP,Santana de Parnaíba
201903,1,20645520000169,FM2C SERVICOS DE MANUTENCAO LTDA,SP,Campinas
201903,1,46029724000169,HIGA PRODUTOS ALIMENTICIOS LTDA,SP,Campinas
