Processo,Numero AI,SGUF,Razao Social,CNPJ/CPF,Data autuação,vlmulta,Ultima Movimentacao,Data e Valor Pago,Situacao Atual,dt decisao 1a,decisao 1a,dt recurso,dt decisao 2a,Decisao 2a,Decisao Definitiva,Processo Encerrado,Decisao de Procedência,Dívida Ativa
46277001195201984,218504691,RS,SANTA CASA DE CARIDADE DE URUGUAIANA,98416225000128,4/10/2019,"R$ 73.542,11",2/11/2022,,Enviado p/ PFN,13/11/2020,Decisão de procedência,,,,SIM,SIM,SIM,SIM
46319001173201981,217869394,PR,DALGALLO COMPENSADOS E PORTAS LTDA,97458749000119,12/7/2019,"R$ 11.725,76",11/27/2019,06/11/2019 - R$5862.88,Arquivado,9/10/2019,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152099209202126,221292306,PR,DALGALLO COMPENSADOS E PORTAS LTDA,97458749000119,23/06/2021 00:00:00,"R$ 3.274,12",1/24/2023,,Arquivado - PGFN pago,08/04/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152125052202282,223801097,GO,OBRAS SOCIAIS DA DIOCESE DE JATAI,97332704000101,10/08/2022 00:00:00,"R$ 9.218,54",4/27/2023,27-04-2023 - R$4609.27,Arquivado - pago administrativamente,30/03/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
46274002206201973,218728361,RS,COOPERATIVA TRITICOLA SEPEENSE LTDA,97225346000120,6/11/2019,"R$ 6.746,75",2/23/2021,22/12/2020 - R$3373.38,Arquivado,13/11/2020,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152054442202180,218876114,BA,PARQUE SHOPPING BAHIA S/A,96842000000108,2/12/2019,"R$ 5.054,04",4/3/2023,22/12/2022 - R$2527.02,Arquivado,17/11/2022,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152054588202125,218979568,BA,CATUSSABA HOTEL LTDA,96827639000114,19/12/2019,"R$ 15.711,98",5/31/2023,,Enviado p/ PFN,4/11/2022,Decisão de procedência,,,,SIM,SIM,SIM,SIM
46204009796201999,218361963,BA,ESTRELA SERVICOS DE SEGURANCA LTDA,96823398000135,17/9/2019,"R$ 79.743,78",5/13/2022,09/03/2022 - R$39871.89,Arquivado,8/2/2022,Decisão de procedência,,,,SIM,SIM,SIM,NAO
46204010049201901,218403143,BA,PHYTOPAO DELICATESSEN LTDA,96744164000100,23/9/2019,"R$ 7.421,92",8/16/2022,08/03/2022 - R$3710.96,Arquivado,7/2/2022,Decisão de procedência,,,,SIM,SIM,SIM,NAO
46281001905201915,218803885,BA,FARME BRITO LTDA,96727482000155,21/11/2019,"R$ 4.851,50",6/21/2022,26/11/2021 - R$2425.75,Arquivado,26/10/2021,Decisão de procedência,,,,SIM,SIM,SIM,NAO
46281001290201919,218157908,BA,FARME BRITO LTDA,96727482000155,21/8/2019,"R$ 4.851,50",6/21/2022,26/11/2021 - R$2425.75,Arquivado,26/10/2021,Decisão de procedência,,,,SIM,SIM,SIM,NAO
14152160636202202,224156781,SP,MEC Q COMERCIO E SERVICOS DE METROLOGIA INDUSTRIAL LTDA,96513486000130,04/10/2022 00:00:00,"R$ 22.151,51",7/27/2023,27-07-2023 - R$11075.76,Arquivado - pago administrativamente,19/07/2023 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
14152092147202121,221223916,SP,VENTURUS CENTRO DE INOVACAO TECNOLOGICA,96499728000189,11/06/2021 00:00:00,"R$ 10.262,16",5/24/2022,17-05-2022 - R$5131.08,Arquivado - pago administrativamente,03/05/2022 00:00:00,Decisão procedente,,,,SIM,SIM,SIM,NAO
